Term	Freq	Standardized	CUI	SemanticType
metabolic/endocrine disorders	1	ENDOCRINE DISORDERS	C0014130	[dsyn]
metacresol	1	METACRESOL	C2825271	"[orch, phsu]"
metal (ferromagnetic) implants	1	Implants	C2926601	[clna]
metal heart valve	1	Heart Valve	C0018826	[bpoc]
metal implant	1	Implant	C1711357	[ftcn]
metal objects or fragments	1	fragments	C0332255	[ftcn]
metal plate	1	metal plate	C0013866	[npop]
metal plates	1	plates	C1139930	[medd]
metal valves	1	valves	C1186983	[bpoc]
metal/foreign objects	1	Metallic Foreign object	C1720389	[inpo]
metallic clip	1	Clip	C1705205	[medd]
metallic foreign body eye	1	foreign body eye	C0015401	[inpo]
metallic implantable devices	1	Implantable	C0021102	[medd]
metallic object	1	Metallic Object	C2826620	[phob]
metallic surgical implant	1	Surgical implant	C0544724	[fndg]
metastasis	1	Metastasis	C0027627	[neop]
methotrexate	1	METHOTREXATE	C0025677	"[orch, phsu]"
methylphenidates	1	unmapped	unmapped	unmapped
methylthioninium-containing drug	1	Drug	C0013227	[phsu]
metoclopromide	1	unmapped	unmapped	unmapped
metoprolol	1	METOPROLOL	C0025859	"[orch, phsu]"
metrifonate	1	Metrifonate	C0040898	"[hops, orch]"
mha-tp	1	mha-tp	C1168490	[lbpr]
mhis	1	unmapped	unmapped	unmapped
mianserin	1	MIANSERIN	C0025912	"[orch, phsu]"
microcrystalline cellulose	1	micro-crystalline cellulose	C3255827	[phsu]
mild dementia	1	Mild dementia	C3494623	[mobd]
mild impairment	1	Impairment	C0221099	[ftcn]
mini	1	Mini	C0445542	[orga]
mini and hdrs score	1	SCORE	C0449820	[qnco]
mini international neuropsychiatric inventory ( mini )	1	Mini	C0445542	[orga]
mini mental state exam (mmse) score	1	Exam	C0582103	[hlca]
mini mental state exam score	1	Exam	C0582103	[hlca]
mini mental state examination ( mmse ) total score	1	Total	C0439810	[qlco]
mini mental state examination ( mmse )total score	1	Total	C0439810	[qlco]
mini mental state examination ( mmss )	1	MMS	C0025706	"[hops, orch, phsu]"
mini mental state examination score	1	Mini-mental state examination score	C2960235	[fndg]
mini mental state examination scores	1	Scores	C0449820	[qnco]
mini mental state examination total score	1	Total	C0439810	[qlco]
mini mental status exam ( mmse )	1	Mini-Mental Status Exam	C0451306	[diap]
mini mental status examination (mmse) score	1	SCORE	C0449820	[qnco]
mini mental status examination score	1	SCORE	C0449820	[qnco]
mini mental test ( mmse )	1	MMSE	C0451306	[diap]
mini mental test examination ( mmse )	1	"Test, Mental"	C0025365	[diap]
mini-mental score	1	SCORE	C0449820	[qnco]
mini-mental state exam ( mmse )	1	mental state exam	C0850338	[topp]
mini-mental state exam ( mmse ) ( 82 ) score	1	SCORE	C0449820	[qnco]
mini-mental state exam ( mmse )106 score	1	Exam	C0582103	[hlca]
mini-mental state examination ( mmse ) scores	1	Scores	C0449820	[qnco]
mini-mental state examination (mmse)	1	Mini-mental state examination	C0451306	[diap]
mini-mental state examination mmse	1	MMSE	C0451306	[diap]
mini-mental state examinations ( mmse ) score	1	SCORE	C0449820	[qnco]
mini-mental state scores	1	Scores	C0449820	[qnco]
mini-mental status examination total score	1	Total Score	C2964552	[qnco]
minimum brief psychiatric rating scale ( bprs ) psychosis factor score	1	SCORE	C0449820	[qnco]
minimum most score	1	SCORE	C0449820	[qnco]
minocycline	1	MINOCYCLINE	C0026187	"[antb, orch]"
mirtazapine	1	MIRTAZAPINE	C0049506	"[orch, phsu]"
mis	1	MIS	C1412384	[gngm]
mixed	1	MIXED	C0205430	[ftcn]
mma	1	unmapped	unmapped	unmapped
mmse ( mini mental state examination )	1	Mini-mental state examination	C0451306	[diap]
moderate-severe anxiety	1	#NAME?	C0003467	[mobd]
modified hachinski	1	Modified	C0392747	[ftcn]
modified hachinski ischaemia scale	1	Scale	C0349674	[inpr]
modified hachinski ischaemia scale score	1	Scale	C0349674	[inpr]
modified hachinski ischemic scale	1	Scale	C0349674	[inpr]
modified hachinski ischemic scale ( mhis )	1	Scale	C0349674	[inpr]
modified hachinski scale10 score	1	SCORE	C0449820	[qnco]
modified hackinski	1	Modified	C0392747	[ftcn]
modified mini-mental state examination	1	Modified mini-mental state examination	C0451308	[inpr]
modified rosen hachinski	1	Modified	C0392747	[ftcn]
modified version of the updrs	1	UPDRS	C3639721	[inpr]
modulators	1	Modulator	C1709060	[mnob]
monoamine oxidase inhibitor	1	Monoamine Oxidase Inhibitor	C0026457	"[orch, phsu]"
monoamine oxidase inhibitors	1	Monoamine Oxidase Inhibitors	C2756978	[moft]
monoamine oxidase inhibitors ( maois )	1	Monoamine Oxidase Inhibitors	C2756978	[moft]
monoamine oxidase inhibitors maois	1	MAOI	C3536878	[phsu]
monoamine oxidases (mao) inhibitors	1	Monoamine Oxidases inhibitors	C0026457	"[orch, phsu]"
monoclonal antibody	1	Monoclonal Antibody	C0003250	"[aapp, imft]"
monoclonal antibody targeting beta amyloid peptide	1	Peptide	C0030956	[aapp]
monoclonal or polyclonal antibodies	1	Polyclonal Antibody	C0312586	"[aapp, imft]"
montreal cognitive assessment	1	Montreal cognitive assessment	C3496286	[diap]
mood disorder with psychotic features	1	Feature	C2348519	[qlco]
mood disturbances	1	Mood disturbances	C2939186	[mobd]
mood stabilization drugs	1	Drugs	C0013227	[phsu]
mosaic form of down syndrome	1	Downs Syndrome	C0013080	"[cgab, dsyn]"
motor anomaly	1	Anomaly	C1704258	[fndg]
motor tics	1	Motor 'tics'	C0751900	[sosy]
motrin	1	Motrin	C0699203	"[orch, phsu]"
movement disorder	1	MOVEMENT DISORDER (NOS)	C0026650	[dsyn]
mri abnormality	1	Abnormality	C1704258	[fndg]
mri studies	1	studies	C0947630	[lbpr]
mri-compatible pacemaker	1	PACEMAKER	C0030163	[medd]
mri-safe cardiac stents	1	Cardiac Stents	C0687568	[medd]
mri/pet imaging	1	Imaging	C0079595	[diap]
mris	1	MRI	C0024485	[diap]
multifocal ventricular ectopy	1	Multifocal ventricular ectopy	C1735340	[patf]
multimorbidity	1	Multimorbidity	C1535889	[idcn]
multiple and/or severe allergies	1	severe Allergies	C2220378	[fndg]
multiple endocrine neoplasia syndrome type 2	1	Multiple Endocrine Neoplasia Syndrome Type 2	C0025268	[neop]
multiple focal signs	1	signs	C0220912	[ftcn]
multiple infarctions	1	multiple infarct	C0333547	[patf]
multiple ischemic attacks	1	ischemic attack	C0745413	[dsyn]
multiple ischemic episodes	1	Ischemic	C0475224	[ftcn]
multiple lacunae	1	Lacuna	C1459585	[euka]
multiple lacunar infarcts	1	Multiple lacunar infarcts	C0585229	[dsyn]
multivitamins	1	MULTIVITAMINS	C0301532	"[orch, phsu, vita]"
muscarinic agents	1	Muscarinic Agents	C0026815	[phsu]
muscle biopsy	1	Muscle Biopsy	C0185283	[diap]
musculoskeletal disorder	1	Musculoskeletal disorder	C0026857	[dsyn]
mustard greens	1	MUSTARD GREENS	C2347309	[food]
mylanta	1	Mylanta	C0067044	"[orch, phsu]"
narrow angle glaucoma	1	"GLAUCOMA, NARROW ANGLE"	C0017605	[dsyn]
narrow-angle glaucoma	1	"GLAUCOMA, NARROW ANGLE"	C0017605	[dsyn]
nasalcrom	1	Nasalcrom	C0700883	"[orch, phsu]"
national institute of aging and the alzheimer's association ( nia-aa )	1	association	C0699792	[socb]
national institute of neurological and communicative diseases and stroke/alzheimer's disease and related disorders association ( nincds-adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative diseases and stroke/alzheimer's disease and related disorders association ( nincds/adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative diseases and stroke/alzheimer's disease and related disorders association (nincds-adrda) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and stroke ( nincds )	1	Communicative Disorders	C0009460	[mobd]
national institute of neurological and communicative disorders and stroke (nincds)	1	Communicative Disorders	C0009460	[mobd]
national institute of neurological and communicative disorders and stroke and the alzheimer's disease and related disorders association ( ninds-adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and stroke and the alzheimer's disease and related disorders association criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and stroke- alzheimer's disease and related disorders association ( nincds-adrda )	1	Disorders Association	C1511978	[tmco]
national institute of neurological and communicative disorders and stroke--alzheimer's disease and related disorders association ( nincds-adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and stroke/alzheimers disease and related disorders association ( nincds-adrda criteria )	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and stroke/the alzheimer's disease and related disorders association criteria	1	Criteria	C0243161	[inpr]
national institute of neurological and communicative disorders and the alzheimer's disease and related disorders association ( nincds-adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological disorders and stroke and the alzheimer's disease and related disorders association ( nincds/adrda ) criteria	1	Criteria	C0243161	[inpr]
national institute of neurological disorders and stroke- association internationale pour la recherche et l' enseignement en neurosciences ( ninds-airen )	1	NINDS	C2350584	[hcro]
national institute on aging-alzheimer's association ( nia-aa ) core clinical criteria	1	Criteria	C0243161	[inpr]
national institute on aging-alzheimer's association ( nia-aa ) criteria ( mckhann 2011 )	1	Criteria	C0243161	[inpr]
national institute on aging-alzheimer's association criteria	1	Criteria	C0243161	[inpr]
national institutes of aging-alzheimer's association criteria	1	Criteria	C0243161	[inpr]
natural extracts	1	Extract	C2828366	[sbst]
neary criteria	1	Criteria	C0243161	[inpr]
nebivolol	1	NEBIVOLOL	C0068475	"[orch, phsu]"
neck calcifications	1	Calcifications	C2242558	[fndg]
neoplasia	1	Neoplasia	C1882062	[neop]
neramexane	1	NERAMEXANE	C1142931	[phsu]
nerve biopsy	1	nerve biopsy	C0196622	[diap]
neuroanatomic abnormality	1	Abnormality	C1704258	[fndg]
"neurodegenerative, locomotor and ophtalmological diseases"	1	Diseases	C0012634	[dsyn]
neurodevelopmental and/or psychomotor disorder	1	psychomotor disorder	C0033922	[mobd]
neurodevelopmental disorder	1	"Disorder, Neurodevelopmental"	C1535926	[mobd]
neuroimaging abnormalities	1	Abnormalities	C0000768	[cgab]
neuroimaging study	1	Study	C2603343	[resa]
neuroinfection	1	unmapped	unmapped	unmapped
neuroleptic malignant syndrome	1	NEUROLEPTIC MALIGNANT SYNDROME	C0027849	[dsyn]
"neuroleptics, antiparkinsonian agents"	1	ANTIPARKINSONIAN AGENTS	C0003405	[phsu]
neurologic conditions	1	Neurologic condition	C0027765	[dsyn]
neurologic diseases	1	Neurologic Diseases	C0027765	[dsyn]
neurologic exam	1	neurological exam	C0027853	[diap]
neurologic examination	1	"Examination, Neurologic"	C0027853	[diap]
neurologic or medical condition	1	Condition	C1705253	[cnce]
neurologic or other physical illness	1	Physical Illness	C0683323	[dsyn]
neurologic or somatic disease	1	Disease	C0012634	[dsyn]
"neurologic, neurodegenerative or psychiatric disease"	1	Psychiatric Disease	C0004936	[mobd]
neurological	1	Neurological	C2707261	[clna]
neurological abnormalities	1	Neurological abnormality	C0497552	"[cgab, dsyn]"
neurological abnormality	1	Neurological abnormality	C0497552	"[cgab, dsyn]"
neurological condition	1	Neurological condition	C0027765	[dsyn]
neurological conditions	1	Neurological condition	C0027765	[dsyn]
neurological deficits	1	Neurological deficit	C0521654	[fndg]
neurological diseases	1	Neurological Diseases	C0027765	[dsyn]
neurological disorder or disease	1	Disease	C0012634	[dsyn]
neurological impairment	1	Neurological impairment	C0521654	[fndg]
neurological or medical abnormalities	1	Abnormalities	C0000768	[cgab]
neurological or neurodegenerative disorder	1	Neurodegenerative Disorder	C0524851	[dsyn]
neurological or neuromuscular impairments	1	Impairments	C2598156	[clna]
neurological or other medical conditions	1	Condition	C1705253	[cnce]
neurological or other physical illness	1	Physical Illness	C0683323	[dsyn]
neurological or psychiatric diagnosis	1	"Diagnosis, Psychiatric"	C0376338	[mobd]
neurological or psychiatric disorders	1	Psychiatric Disorders	C0004936	[mobd]
"neurological, hepatic, renal, metabolic, hematological, immunological, cardiovascular, pulmonary, gastrointestinal or psychiatric disorders"	1	Psychiatric Disorders	C0004936	[mobd]
"neurological, musculoskeletal, cardio-pulmonary disorder"	1	cardiopulmonary Disorder	C0034072	[dsyn]
"neurological, psychiatric, endocrine, hepatic or infectious complaint"	1	Complaint	C0277786	[fndg]
neurological/psychiatric disorder	1	Psychiatric Disorder	C0004936	[mobd]
neuromuscular or musculoskeletal disease	1	Musculoskeletal Disease	C0026857	[dsyn]
neuromuscular-blocking agents	1	NEUROMUSCULAR BLOCKING AGENTS	C0027866	[phsu]
neuropathology	1	Neuropathology	C0334903	[prog]
neuropsychiatric illnesses	1	illnesses	C0221423	[sosy]
neuropsychiatric inventory	1	Inventory	C0021941	[mnob]
neuropsychiatric inventory ( npi ) agitation/aggression subscale score	1	Subscale score	C0459443	[qnco]
neuropsychiatric inventory ( npi ) apathy item	1	Item	C1551338	[enty]
neuropsychiatric inventory ( npi ) total score	1	Total Score	C2964552	[qnco]
neuropsychiatric inventory agitation/aggression item score	1	Item score	C0559741	[qnco]
neuropsychiatric inventory-nursing home version total score	1	Total Score	C2964552	[qnco]
neuropsychological battery	1	Neuropsychological battery	C0451331	[inpr]
neuropsychological measures	1	Measures	C0079809	[qnco]
neuropsychological or clinical testing	1	Clinical Testing	C1516634	[resa]
neuropsychological sequelae	1	sequelae	C0243088	[patf]
neuropsychological test	1	"Test, Neuropsychological"	C0027902	[diap]
neuropsychological test battery	1	Battery	C0337088	[mnob]
neuropsychological test results	1	Result	C2825142	[fndg]
neuropsychological testing	1	Neuropsychological testing	C0027902	[diap]
neuropsychological tests	1	Neuropsychological Tests	C0027902	[diap]
neurostimulator	1	Neurostimulator	C0582124	[medd]
neurosurgery	1	neuro surgery	C0524850	[topp]
neutrophil count	1	Neutrophile count	C0200633	[lbpr]
new cardiovascular event	1	Cardiovascular event	C1320716	[fndg]
new tumor	1	Tumor	C1578706	[inpr]
new york heart association	1	association	C0699792	[socb]
new york heart association nyha	1	association	C0699792	[socb]
newly approved medications	1	Medications	C2598133	[clna]
nia-aa	1	Aa	C1235746	[plnt]
nia-alzheimer's association core clinical criteria	1	Criteria	C0243161	[inpr]
niaaa criteria	1	Criteria	C0243161	[inpr]
niaaa criteria iii	1	III	C0439070	[inpr]
nicotine patch	1	Nicotine Patch	C0358855	[clnd]
nicotine patches	1	Patch	C0991556	[medd]
nicotine replacement therapy	1	Nicotine Replacement Therapy	C1278444	[topp]
nilvadipine	1	NILVADIPINE	C0132512	"[orch, phsu]"
nimh diagnostic criteria	1	Diagnostic Criteria	C0679228	[inpr]
nimh( national institute of mental health ) consensus criteria	1	Criteria	C0243161	[inpr]
nincds-adrda ( national institute of neurological and communicative disorders and stroke -alzheimer's disease and related disorders association ) criteria	1	Criteria	C0243161	[inpr]
nincds-adrda* 1984 criteria	1	Criteria	C0243161	[inpr]
nincds-adrda16	1	unmapped	unmapped	unmapped
nincds-adrda3 criteria	1	Criteria	C0243161	[inpr]
nincds-airen	1	unmapped	unmapped	unmapped
nincds-ardra criteria51	1	unmapped	unmapped	unmapped
nincds/adrda	1	unmapped	unmapped	unmapped
nincds/adrda diagnostic criteria	1	Diagnostic Criteria	C0679228	[inpr]
nindnds-ardra criteria	1	Criteria	C0243161	[inpr]
ninds-airen	1	NINDS	C2350584	[hcro]
ninds-airen criteria	1	Criteria	C0243161	[inpr]
ninds-airen international workshop criteria	1	Criteria	C0243161	[inpr]
ninds-airen6 criteria	1	Criteria	C0243161	[inpr]
nivadil	1	Nivadil	C1436402	"[orch, phsu]"
nmda ( n-methyl-d-asparate ) antagonist	1	Antagonist	C0231491	[ortf]
nmda receptor antagonists	1	NMDA Receptor Antagonists	C2916808	[moft]
nocturnal confusion / disorientation / agitation	1	AGITATION	C0085631	[sosy]
nocturnal wandering	1	Nocturnal Wandering	C0037672	[dsyn]
non child bearing potential	1	Potential	C3245505	[qlco]
non hemispheric stroke	1	STROKE	C0038454	[dsyn]
non metastatic skin cancers	1	Metastatic Skin Cancer	C1947968	[neop]
non steroidal anti-inflammatory drugs	1	Non Steroidal Anti Inflammatory Drugs	C0003211	[phsu]
non-ad	1	Non	C1518422	[ftcn]
non-ad dementias	1	Dementias	C0497327	[mobd]
non-ad neurodegenerative disorder	1	Neurodegenerative Disorder	C0524851	[dsyn]
non-alzheimer's dementia	1	Alzheimer dementia	C0002395	[dsyn]
non-amnestic mci	1	mCi	C0560005	[qnco]
non-benzodiazepine hypnotics	1	Hypnotics	C0020591	[phsu]
non-breast feeding	1	Breast feeding	C1623040	[fndg]
non-contrast mri	1	MRI	C0024485	[diap]
non-demented	1	demented	C0860630	[mobd]
non-depressed	1	Depressed	C0344315	[fndg]
non-excluded medication	1	Medication	C0013227	[phsu]
non-melanoma skin cancer	1	"Skin Cancer, Non-Melanoma"	C0699893	[neop]
non-melanoma skin cancers	1	"Skin Cancer, Non-Melanoma"	C0699893	[neop]
non-metastatic basal or squamous cell carcinoma	1	Squamous cell carcinoma	C1302853	[neop]
non-neurodegenerative cause	1	cause	C0015127	[ftcn]
non-pharmacological methods	1	Methods	C0025663	[inpr]
non-removable hearing aids	1	Hearing Aids	C0018768	[medd]
non-squamous skin carcinoma	1	Squamous skin carcinoma	C0553723	[neop]
non-st-elevation mi	1	MI	C3810814	[diap]
non-steroidal anti-inflammatory agents	1	"Antiinflammatory Agents, Non Steroidal"	C0003211	[phsu]
non-steroidal anti-inflammatory drugs ( nsaids )	1	Non Steroidal Anti Inflammatory Drugs	C0003211	[phsu]
non-systemic corticosteroids	1	Systemic Corticosteroid	C4053960	[topp]
nonsmoker	1	Non-Smoker	C0425293	[fndg]
nonsmokers	1	nonsmokers	C0337672	[fndg]
nonsmoking	1	unmapped	unmapped	unmapped
nonsteroidal anti-inflammatory medication	1	Nonsteroidal antiinflammatory Medication	C0003211	[phsu]
norepinephrine	1	NOREPINEPHRINE	C0028351	"[horm, orch, phsu]"
not	1	Not	C1518422	[ftcn]
notch	1	Notch	C1235660	[bsoj]
npi	1	NPI	C1549728	[inpr]
npi agitation/aggression subitem score	1	SCORE	C0449820	[qnco]
npi depression item	1	Item	C1551338	[enty]
nps symptoms	1	symptoms	C0683368	[ftcn]
nsaid	1	NSAID	C0003211	[phsu]
nsaids	1	NSAIDS	C0003211	[phsu]
ntervening neurological disease	1	Neurological disease	C0027765	[dsyn]
nuprin	1	Nuprin	C0699205	"[orch, phsu]"
nutraceuticals	1	Nutraceuticals	C1518478	[food]
object	1	Object	C1704861	[cnce]
objective memory impairment	1	Memory impairment	C1963167	[patf]
objects	1	Objects	C0347997	[phob]
obsessive-compulsive disorder	1	Obsessive-compulsive disorder	C0600104	[mobd]
obstructive uropathy	1	"OBSTRUCTIVE UROPATHY, NOS"	C0178879	[dsyn]
occlusive cataracts	1	CATARACTS	C0086543	[acab]
ocular herpes simplex virus ( hsv ) infection	1	ocular herpes simplex virus infection	C0019357	[dsyn]
oestradiol	1	Oestradiol	C0014912	"[horm, orch, phsu]"
ogtt criteria	1	Criteria	C0243161	[inpr]
olal rivastigmine	1	RIVASTIGMINE	C0649350	"[orch, phsu]"
olanzapine	1	OLANZAPINE	C0171023	"[orch, phsu]"
old	1	Old	C0580836	[tmco]
oligophrenia	1	OLIGOPHRENIA	C0549491	[fndg]
olin depression	1	DEPRESSION	C0011570	[mobd]
omega 3 pufa supplements	1	Supplement	C2348609	[ftcn]
omega- 3 fatty acid status	1	Status	C0449438	[qlco]
omega- 3 fatty acid supplement	1	Supplement	C2348609	[ftcn]
omega- 3 fatty acids	1	"Acids, Omega-3 Fatty"	C0015689	"[bacs, orch, phsu]"
omega- 3 index	1	% index	C1637833	[qnco]
oncological diagnosis	1	DIAGNOSIS	C1704656	[resa]
onset age	1	Onset Age	C0206132	[qnco]
open head injury	1	"Head Injury, Open"	C0518454	[inpo]
ophthalmic dilating agents	1	dilating	C0700124	[fndg]
ophthalmic shingles	1	SHINGLES	C0019360	[dsyn]
ophthalmologic/visual problems	1	Problems	C1546466	[idcn]
opiate drugs	1	Drugs	C0013227	[phsu]
opiates	1	"Opiates, NOS"	C0242401	[lbpr]
optic neuritis	1	"Neuritis, Optic"	C0029134	[dsyn]
opticrom	1	Opticrom	C0591910	"[orch, phsu]"
oral drug	1	Oral Drugs	C0304289	[phsu]
oral glucose tolerance test	1	Oral Glucose Tolerance Test	C0029161	[diap]
oral hurts	1	Oral	C0442027	[spco]
oral hypoglycemic agents	1	oral hypoglycemic agents	C0359086	[phsu]
oral medication	1	ORAL MEDICATION	C0175795	[topp]
oreign metal objects	1	Object	C1704861	[cnce]
organ ( esp. liver or renal ) dysfunction	1	Renal dysfunction	C1565489	[dsyn]
organ system diseases	1	system Diseases	C1298233	[ftcn]
organic affective disorder	1	Organic affective disorder	C0029232	[mobd]
organic brain disease	1	Brain Disease	C0006111	[dsyn]
organic diseases	1	organic Diseases	C0683324	[dsyn]
orientation	1	orientation	C1704322	[spco]
orthopedic surgery	1	"Surgery, Orthopedic"	C0162439	[bmod]
orthopnea	1	Orthopnoea	C0085619	[sosy]
osteoarthritis	1	OSTEOARTHRITIS	C0029408	[dsyn]
ot surgery	1	Surgery	C1274039	[bmod]
otc	1	OTC	C0013231	[phsu]
over the counter drug	1	over-the-counter drug	C0013231	[phsu]
over-the-counter	1	Over-the-Counter	C0013231	[phsu]
over-the-counter medication	1	over the counter Medication	C0013231	[phsu]
over-the-counter or prescription medication	1	Prescription Medication	C0304227	[phsu]
overlapping side effects	1	side effects	C0001688	[ftcn]
oxybutynin	1	OXYBUTYNIN	C0069805	"[orch, phsu]"
oxygen therapy	1	Oxygen therapy	C1546419	[fndg]
pain	1	Pain NOS	C1962977	[fndg]
pain medication	1	Medication	C0013227	[phsu]
pancreatitis	1	Pancreatitis	C1963198	[fndg]
panic attacks	1	PANIC ATTACKS	C0086769	[mobd]
papilledema	1	PAPILLOEDEMA	C0030353	[dsyn]
paraclinical manifestations	1	manifestations	C1280464	[qlco]
paranoid disorder	1	PARANOID DISORDER	C1456784	[mobd]
parathyroid	1	"Parathyroid, NOS"	C0030518	[bpoc]
parenchymal lesion	1	Lesion	C0221198	[fndg]
parkinson	1	Parkinsonia	C1021144	[plnt]
parkinson s disease	1	Parkinson`s disease	C0030567	[dsyn]
parkinson s disease dementia	1	dementia	C0011265	[mobd]
parkinson's disease - dementia	1	dementia	C0011265	[mobd]
parkinson's disease dementia	1	dementia	C0011265	[mobd]
passive immunotherapies	1	Passive Immunotherapies	C0600249	[topp]
pba	1	PBA	C0281398	"[orch, phsu]"
pd-mci	1	mCi	C0560005	[qnco]
pemoline	1	PEMOLINE	C0030800	"[orch, phsu]"
perceived stress scale 14 items	1	Item	C1551338	[enty]
peripheral anticholinergics	1	Anticholinergics	C0242896	[phsu]
peripheral trauma	1	Trauma	C0043251	[inpo]
periventricular disease	1	Disease	C0012634	[dsyn]
periventricular white matter	1	Periventricular white matter	C0228157	[bpoc]
permanent pacemaker	1	Permanent Pacemaker	C0281945	[medd]
persistent neurological deficits	1	Neurological deficit	C0521654	[fndg]
personal or family history	1	FAMILY HISTORY	C0241889	[fndg]
pet scans	1	PET Scans	C0032743	[diap]
pet tracer	1	Tracer	C1522485	[irda]
pet/ pib scores	1	Scores	C0449820	[qnco]
petersen's criteria	1	Criteria	C0243161	[inpr]
pfizer pharma gmbh	1	Pfizer	C0331888	[hcro]
pgp inhibitors	1	P-gp inhibitor	C3898062	[chvf]
pharmacological immunosuppression	1	Immunosuppression	C1373218	[patf]
pharmacotherapy	1	Pharmacotherapy	C1554668	[prog]
phenylephrine	1	PHENYLEPHRINE	C0031469	"[orch, phsu]"
pheochromocytoma	1	PHEOCHROMOCYTOMA	C0031511	[neop]
physical	1	Physical	C1509143	[fndg]
physical aggression	1	Physical aggression	C0424323	[fndg]
physical and neurological examination	1	Neurological Examination	C0027853	[diap]
physical examination findings	1	Physical Examination findings	C0944980	[clna]
physical exercise	1	Physical Exercise	C0015259	[dora]
physical exercises	1	PHYSICAL EXERCISES	C0015259	[dora]
physical health	1	Physical Health	C0517226	[fndg]
physical impairment	1	Physical impairment	C0231171	[fndg]
physical or mental disease	1	Mental disease	C0004936	[mobd]
physical or neurologic deficit	1	Neurologic Deficit	C0521654	[fndg]
physostigmine	1	PHYSOSTIGMINE	C0031849	"[orch, phsu]"
pittsburgh agitation scale score	1	Scale Score	C4049715	[inpr]
pituitary	1	Pituitary	C0032002	[dsyn]
pituitary tumors	1	Pituitary Tumors	C0032019	[neop]
plasma pufa	1	PUFA	C0032615	"[bacs, orch]"
plastic surgery	1	Plastic Surgery	C0038911	[bmod]
platelet	1	PLATELET	C0005821	[cell]
platelets	1	Platelets	C0005821	[cell]
pneumonia	1	PNEUMONIA	C0032285	[dsyn]
post menopause	1	POST MENOPAUSE	C0206159	[orgf]
post-gastrectomy	1	Gastrectomy	C0017118	[topp]
post-partum	1	POSTPARTUM	C0086839	[tmco]
post-stroke period	1	Period	C1948053	[tmco]
post-traumatic / post-surgery	1	Traumatic	C0332663	[ftcn]
post-traumatic brain injury	1	Post Traumatic Brain Injury	C0750973	[inpo]
post-traumatic stress disorder	1	Posttraumatic stress disorder	C0038436	[mobd]
post-treatment hypersensitivity reactions	1	Hypersensitivity reactions	C0020517	[patf]
posterior cortical atrophy	1	Cortical Atrophy	C0235946	[dsyn]
potent cyp2d6 inhibitor	1	CYP2D6 Inhibitor	C2962189	[phsu]
potent inhibitors of cyp3a4	1	CYP3A4	C3714798	"[aapp, enzy]"
potent pgp inhibitors	1	P-gp inhibitor	C3898062	[chvf]
ppar agonist	1	Agonist	C2987634	[phsu]
pr	1	PR+	C0279759	[lbtr]
pr interval	1	PR interval	C0520877	[clna]
pradaxa	1	Pradaxa	C2940579	[phsu]
prazosin	1	PRAZOSIN	C0032912	"[orch, phsu]"
pre-menopausal	1	Pre-Menopause	C0206158	[phsf]
pre-study test	1	test	C0392366	[inpr]
pre-study urine screen	1	urine screen	C0595946	[fndg]
predicted survival	1	Survival	C0038952	[acty]
prednisone	1	PREDNISONE	C0032952	"[horm, orch, phsu]"
pregnancy test result	1	Pregnancy test result	C0427777	[lbtr]
premenopausal with childbearing potential	1	Childbearing Potential	C3831118	[clna]
prescribed medication	1	Medication	C0013227	[phsu]
prescription acetylcholinesterase inhibitor	1	Acetylcholinesterase Inhibitor	C0001046	[phsu]
prescription drugs	1	Prescription Drugs	C0304227	[phsu]
prescription medications	1	Prescription Medications	C0304227	[phsu]
prescription or non-prescription drugs	1	"Drugs, Non-Prescription"	C0013231	[phsu]
prescription or non-prescription drugs or food	1	Food	C0016452	[food]
presents	1	Present	C0150312	[qnco]
prestroke history	1	History	C2004062	[fndg]
primary depression	1	primary Depression	C0270482	[mobd]
primary hemorrhagic stroke	1	Haemorrhagic stroke	C0553692	[dsyn]
primary neurodegenerative disorder	1	Primary Disorder	C0277554	[dsyn]
primary psychotic disorder	1	Psychotic Disorder	C0033975	[mobd]
primidone	1	PRIMIDONE	C0033148	"[orch, phsu]"
proanolol	1	unmapped	unmapped	unmapped
probability criteria of the alzheimer's disease and related disorders association	1	Disorders Association	C1511978	[tmco]
problem solving	1	Problem Solving	C0033211	[menp]
problems	1	Problems	C1546466	[idcn]
problems in daily life functioning	1	Functioning	C0205245	[ftcn]
procedure	1	Procedure	C2700391	[acty]
prochlorperazine	1	PROCHLORPERAZINE	C0033229	"[orch, phsu]"
procoagulant abnormalities	1	Abnormalities	C0000768	[cgab]
product	1	Product	C1514468	[enty]
progesterone	1	Progesterone	C2757070	[phsu]
prognosis	1	Prognosis	C0033325	[hlca]
progression	1	Progression	C0449258	[ftcn]
progressive dementing disorder	1	dementing	C0860630	[mobd]
progressive disease	1	progressive disease	C0677932	[neop]
progressive memory impairment	1	"Memory impairment, progressive"	C3279886	[fndg]
